resource_type	resource_name	accession_or_identifier	version_or_release	role_in_analysis	source_url_or_DOI_if_applicable	software_version_if_resource_is_tool	command_or_parameter_note_if_relevant	provenance_note
reference_genome	NL03003 full genome	GCA_002952155.1 ASM295215v1; CP022026.1	GenBank/NCBI Assembly version GCA_002952155.1	full-genome competitive mapping target; coordinate framework; direct uniqueness BLAST target	NCBI Assembly / GenBank		Reference FASTA indexed with bwa and samtools faidx; BLAST database built with makeblastdb -dbtype nucl -parse_seqids for direct uniqueness	Full genome FASTA checksum for direct uniqueness: c8bf499803da95132405edf274747b17e6ac3f15d4e124866bef2a8d266a3d99
reference_genome	HWC168 positive-control assembly	GCA_002837235.1	NCBI/INSDC assembly	positive-control assembly-level reproduction of AsCEP19/AsCEP20	NCBI Assembly / INSDC		tblastn protein-vs-genome and locus-level blastn/coordinate inspection	Positive control only; not used to claim species-wide presence
public_assembly	TA-0410 public assembly	GCA_036363465.1	NCBI/INSDC assembly	additional assembly-level public-screen case	NCBI Assembly / INSDC		tblastn protein-vs-genome and locus-level blastn/coordinate inspection	Scaffold-edge limitation retained in S1
contrast_dataset	SRR37517893	SRR37517893; PRJNA1430875	NCBI SRA / local assembly context	contrast case for unsupported complete NL03003-like locus	NCBI SRA		assembly-level tblastn/blastn and raw-read/locus support interpreted conservatively	Does not exclude very divergent homologs
read_panel	PRJNA746421 WGS read panel	PRJNA746421; 48 run accessions listed in S2	NCBI SRA BioProject	full-genome competitive mapping and variability/conservation context	NCBI SRA	prefetch 3.4.1; fasterq-dump 3.4.1	prefetch --max-size 30G; fasterq-dump --split-files --threads 4; pigz -p 4 where available	S2 provides sample_id, run_accession, country and mapping metrics
software	BWA-MEM	bwa	0.7.19-r1273	full-genome competitive mapping to NL03003	bwa	0.7.19-r1273	bwa mem -t 4 <NL03003_genome.fa> <FASTQ>; paired first-read and second-read inputs mapped independently and merged	Execution version recovered from local workflow evidence
software	SAMtools	samtools	1.23.1 / htslib 1.23.1	BAM filtering, sorting, indexing, depth and mpileup	samtools	1.23.1	samtools view -F 4; samtools view -q 20 for MAPQ filtering; samtools depth -aa; samtools mpileup -aa -q 20 -Q 20	Used for competitive mapping summaries and variability context
method_parameter	Competitive mapping target interval	CP022026.1:240000-248000	8001 bp	PRJNA746421 support of NL03003-like locus	NL03003 coordinate framework		Supported if breadth at >=1x was >=90% and mean depth was >=5x after MAPQ >=20 filtering	S2 contains final per-run metrics
method_parameter	Variability classification and projection	AsCEP19 and AsCEP20 primer-defined regions projected onto reconstructed coding models	MAPQ >=20; mpileup -q 20 -Q 20	candidate filtering and internal/external variable-position metrics	Derived from PRJNA746421 mapping context	samtools 1.23.1	Conservative positions have no reproducible alternate base; minor positions have rare alternate support below high-variability threshold; high-variability positions have reproducible alternate support sufficient to exclude a candidate window; projected positions are transferred to coding-model/candidate coordinates	S4 and S5 record final projected counts; no scientific values changed in this hardening step
method_parameter	21-nt window generation	AsCEP19-200; AsCEP20-170	window length 21, step size 1	candidate conservation/siRNA-compatible window metric	candidate FASTA S6	Python 3.13.12 environment note	windows generated as all substrings of length 21; reverse complements retained for host-reference matching; retained if no overlap with projected variable position	S5 records retained and total windows
software	BLAST+ for host-reference screen	blastn; makeblastdb	2.17.0+ for host-reference confirmation layer	host-reference off-target BLAST screening	BLAST+	blastn 2.17.0+; makeblastdb 2.17.0+	makeblastdb -dbtype nucl -parse_seqids; blastn -task blastn -word_size 7 -dust no -evalue 1000 -perc_identity 70 -outfmt with qcovs	Used as short-local-similarity and longer-similarity host-reference screen
software	BLAST+ for direct candidate uniqueness	blastn; makeblastdb	2.2.31+	direct candidate-level uniqueness in NL03003	BLAST+	blastn 2.2.31+; makeblastdb 2.2.31+	blastn -task blastn -dust no -soft_masking false -word_size 7 -evalue 1000 -max_target_seqs 100000; outfmt includes qseqid, sseqid, pident, length, qlen, coordinates, strand, evalue, bitscore, qcovs	Direct uniqueness provenance table records candidate and reference checksums
software	seqkit	seqkit	v2.13.0	FASTA/FASTQ counting and auxiliary sequence checks	seqkit	v2.13.0	seqkit stats / sequence-count checks where used	Auxiliary processing only
host_reference	Solanum tuberosum host references	SolTub_3.0 genome; SolTub_3.0 cDNA; SolTub_3.0 CDS	SolTub_3.0	potato host-reference off-target screening	Ensembl Plants / local FASTA copies		Exact 19-21 nt and mismatch-aware host-reference windows; BLASTn host-reference screen	Genome, cDNA and CDS layers represented in S8/S10; earlier transcript/CDS combined reference contained 112420 sequences and 130451690 bases
host_reference	Solanum lycopersicum host references	SL3.0 genome; SL3.0 cDNA; SL3.0 CDS	SL3.0	tomato host-reference off-target screening	Ensembl Plants / local FASTA copies		Exact 19-21 nt and mismatch-aware host-reference windows; BLASTn host-reference screen	Genome, cDNA and CDS layers represented in S8/S10
method_parameter	Mismatch-aware host-reference screen	AsCEP19-200; AsCEP20-170	19, 20 and 21 nt windows; 0, 1 or 2 mismatches	comparative host-reference match burden	S6 candidate FASTA and host references	Python 3.13.12 environment note	forward and reverse-complement windows screened; retained-window detail files are filtered to final candidates	S8 compact summary and S10 expanded index report the final publication-facing results
method_parameter	CDS reconstruction/candidate projection	AsCEP19-200; AsCEP20-170	reconstructed oriented coding-model coordinates	candidate boundary and compound genomic projection interpretation	NL03003 coordinate framework and positive-control locus evidence		candidate IDs encode CDS window length and interval; S4 maps coding_model_interval to compound_genomic_projection_CP022026_1 and strand	Conceptual method clarified in manuscript; final coordinates unchanged
